School,Conf,Coach, NCAAFBREV16 ,MedianConfSal, SchoolPay , TotalPay , Bonus , BonusPaid , PayPlusBonus2016 , StadSize , Graduation Rate (GSR) , Seat Rank , GSRank , Combo Rank , TrueRank ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
Central Florida,AAC,Josh Heupel,56327225,2458033,1700000,1700000,250000,,1700000,45301,64,58,17,44,94,,,,,,,
Central Michigan,MAC,John Bonamego,34692784,492413,655000,655000,415000,45000,700000,32885,64,38,17,27,115,6,7,0.857142857,-4.7,-0.9,-5.6,70.47
Charlotte,C-USA,Brad Lambert,37931802,782787,625000,625000,120000,,625000,15314,56,3,10,11,129,4,8,0.5,-6.5,-6.01,-12.51,67.25
Cincinnati,AAC,Luke Fickell,60458195,2458033,2000000,2000000,625000,,2000000,40000,56,50,10,41,97,4,8,0.5,-9.46,0.29,-9.17,65.2
Clemson,ACC,Dabo Swinney,112600964,2458033,6205000,6543350,1125000,500000,7043350,81500,56,114,10,81,39,14,1,14,9.4,10.68,20.08,91.53
Coastal Carolina,Sun Belt,Joe Moglia,33703994,675000,400000,400000,800000,25000,425000,9214,85,1,107,37,104,,,,,,,
Colorado,Pac-12,Mike MacIntyre,94226111,2752233,2878500,2878500,2150000,297000,3175500,50183,83,70,97,84,32,10,4,2.5,2.32,9.86,12.18,79.41
Colorado State,Mt. West,Mike Bobo,44672317,879288,1800000,1800000,905000,50000,1850000,34400,83,42,97,67,57,7,6,1.166666667,5.18,-2.66,2.52,80.23
Connecticut,AAC,Randy Edsall,83374223,2458033,1100000,1100000,650000,129000,1229000,40000,98,50,126,75,46,3,9,0.333333333,-13.01,-0.3,-13.3,60.84
Duke,ACC,David Cutcliffe,,2458033,2540928,2540928,,,2540928,33941,82,40,93,69,55,4,8,0.5,-3.03,1.67,-1.36,73.35
East Carolina,AAC,Scottie Montgomery,48312311,2458033,1102500,1102500,850000,,1102500,50000,80,64,87,66,61,3,9,0.333333333,-2.71,-6.98,-9.69,74.88
Eastern Michigan,MAC,Chris Creighton,32311247,492413,460000,460000,395000,10000,470000,30200,75,26,67,34,108,7,6,1.166666667,-1.73,-2.57,-4.3,72.43
Florida,SEC,Dan Mullen,149165475,3929800,6070000,6070000,925000,,6070000,88548,92,119,120,119,4,9,4,2.25,-2.62,13.6,10.98,74.4
Florida Atlantic,C-USA,Lane Kiffin,34509259,782787,1000000,1000000,1150000,40000,1040000,30000,49,20,6,23,120,3,9,0.333333333,-4.18,-10.42,-14.6,69.14
Florida State,ACC,Willie Taggart,144514413,2458033,5000000,5000000,1475000,,5000000,82300,68,116,28,85,30,10,3,3.333333333,9.49,5.52,15.01,86.38
Fresno State,Mt. West,Jeff Tedford,46215249,879288,1550000,1550000,2765000,1240000,2790000,41031,90,54,117,84,32,1,11,0.090909091,-12.31,-1.94,-14.26,60.61
Georgia,SEC,Kirby Smart,157852479,3929800,6603600,6603600,1150000,1350000,7953600,92746,89,121,115,120,2,8,5,1.6,0.35,3.29,3.64,74.16
